# index, name, _pos
135,2404,"array([-0.89570757,  1.486563  ])"
136,2409,"array([-0.87696402,  1.4680071 ])"
137,2501,"array([-0.8764777 ,  1.48484125])"
138,2561,"array([-0.88025575,  1.4646301 ])"
139,2584,"array([-0.90907848,  1.49696781])"
140,2587,"array([-0.906215 ,  1.4892836])"
141,2752,"array([-0.913097  ,  1.45801035])"
142,2891,"array([-0.91368682,  1.4598451 ])"
143,2943,"array([-0.90631557,  1.45209326])"
144,2957,"array([-0.86915188,  1.43632121])"
145,3091,"array([-0.90166936,  1.48400058])"
146,3108,"array([-0.87079184,  1.49450241])"
147,3172,"array([-0.91728525,  1.48760382])"
148,3198,"array([-0.91170669,  1.49437163])"
149,3262,"array([-0.87873071,  1.48947761])"
150,3303,"array([-0.91071774,  1.42800775])"
151,3309,"array([-0.88541101,  1.47013205])"
152,3331,"array([-0.91295585,  1.46815533])"
153,3378,"array([-0.88848038,  1.4693624 ])"
154,3464,"array([-0.88086878,  1.47528319])"
155,3492,"array([-0.93148727,  1.43672237])"
156,3615,"array([-0.92311853,  1.49424145])"
157,3749,"array([-0.87686824,  1.47476274])"
158,3762,"array([-0.89455854,  1.44907961])"
159,3768,"array([-0.88730344,  1.48751133])"
160,3800,"array([-0.90593459,  1.46267439])"
161,3882,"array([-0.86730071,  1.49511917])"
162,3908,"array([-0.88133313,  1.49197205])"
163,3942,"array([-0.84247802,  1.45503243])"
164,4106,"array([-0.89488888,  1.46869341])"
165,4201,"array([-0.8938478 ,  1.40845398])"
166,4247,"array([-0.89175797,  1.46398647])"
167,4348,"array([-0.90582304,  1.44508322])"
168,4506,"array([-0.90399139,  1.46454696])"
169,4589,"array([-0.89167155,  1.50467791])"
170,4866,"array([-0.89570728,  1.44235286])"
171,4942,"array([-0.93438555,  1.44373569])"
172,4968,"array([-0.88673603,  1.44832599])"
173,5022,"array([-0.89045984,  1.44868864])"
174,5359,"array([-0.88309765,  1.50636615])"
175,5948,"array([-0.92340012,  1.42660291])"
176,6056,"array([-0.90824508,  1.46699796])"
177,6081,"array([-0.8459944 ,  1.43038937])"
178,6291,"array([-0.89697579,  1.49818075])"
179,6408,"array([-0.91335041,  1.42895584])"
180,6593,"array([-0.88989387,  1.41893731])"
181,6711,"array([-0.92546336,  1.50891431])"
182,6724,"array([-0.85102835,  1.49207832])"
183,6744,"array([-0.85754007,  1.46584183])"
184,6868,"array([-0.91801439,  1.46847268])"
185,4,"array([-0.9776523 ,  1.42214898])"
186,8,"array([-0.89232078,  1.47144595])"
187,9,"array([-0.89504298,  1.47819794])"
188,10,"array([-0.88521004,  1.48236317])"
189,12,"array([-0.8859217,  1.4766144])"
190,18,"array([-0.8883804 ,  1.47094188])"
191,37,"array([-0.89132718,  1.47797269])"
192,42,"array([-0.89250437,  1.49165826])"
193,55,"array([-0.90153475,  1.47015369])"
194,56,"array([-0.89912392,  1.48474802])"
195,57,"array([-0.89819159,  1.47974975])"
196,71,"array([-0.89228192,  1.4811643 ])"
197,94,"array([-0.88976389,  1.47234455])"
198,102,"array([-0.90099637,  1.47580309])"
199,111,"array([-0.89732303,  1.4719152 ])"
200,115,"array([-0.89670683,  1.47943575])"
201,116,"array([-0.89168807,  1.48184046])"
202,120,"array([-0.89338265,  1.48244773])"
203,122,"array([-0.8900072 ,  1.47898684])"
204,136,"array([-0.9002377 ,  1.47897671])"
205,137,"array([-0.88067779,  1.52178511])"
206,146,"array([-0.89721543,  1.47490367])"
207,152,"array([-0.90503025,  1.47315046])"
208,156,"array([-0.89636412,  1.47631132])"
209,158,"array([-0.86215159,  1.49691048])"
210,160,"array([-0.91416395,  1.49130644])"
211,167,"array([-0.87017684,  1.49921941])"
212,168,"array([-0.86504986,  1.48401272])"
213,184,"array([-0.89405021,  1.4881596 ])"
214,218,"array([-0.90635682,  1.49256554])"
215,224,"array([-0.8917448 ,  1.48787612])"
216,231,"array([-0.89186544,  1.48529117])"
