# index, name, _pos
142,421,"array([4.19729909, 0.96465076])"
143,429,"array([4.1985184 , 0.96252195])"
144,432,"array([4.1979769 , 0.96278196])"
145,433,"array([4.19868062, 0.96545538])"
146,435,"array([4.19648719, 0.96389872])"
147,448,"array([4.20142099, 0.9622872 ])"
148,450,"array([4.19601523, 0.96136049])"
149,470,"array([4.19325658, 0.96331517])"
150,473,"array([4.20069017, 0.95941913])"
151,477,"array([4.19677254, 0.96320088])"
152,482,"array([4.19582748, 0.96033315])"
153,483,"array([4.19538926, 0.96169747])"
154,484,"array([4.19693784, 0.96039085])"
155,487,"array([4.19713812, 0.96235334])"
156,495,"array([4.19080924, 0.96493736])"
157,501,"array([4.1959941 , 0.96854153])"
158,502,"array([4.19742575, 0.96023165])"
159,512,"array([4.18600241, 0.95020702])"
160,514,"array([4.20205309, 0.96577314])"
161,517,"array([4.2011641 , 0.96324134])"
162,519,"array([4.19415173, 0.96541668])"
163,522,"array([4.20912844, 0.97175516])"
164,527,"array([4.19860448, 0.95867837])"
165,529,"array([4.19745933, 0.96695819])"
166,535,"array([4.19442918, 0.96339979])"
167,540,"array([4.19527854, 0.9647924 ])"
168,541,"array([4.20289486, 0.96651394])"
169,547,"array([4.19406788, 0.96428956])"
170,550,"array([4.1996516 , 0.97135394])"
171,553,"array([4.19916713, 0.96174951])"
172,556,"array([4.21378078, 0.94296436])"
173,567,"array([4.19675183, 0.96781446])"
174,568,"array([4.20026423, 0.96841768])"
175,570,"array([4.19653925, 0.96443665])"
176,571,"array([4.19713283, 0.96700985])"
177,572,"array([4.2003892 , 0.96345965])"
178,573,"array([4.19358637, 0.96930396])"
179,575,"array([4.20860441, 0.96612581])"
180,577,"array([4.21118785, 0.95389072])"
181,578,"array([4.19955636, 0.96209282])"
182,579,"array([4.19766594, 0.96427615])"
183,580,"array([4.20034545, 0.96475036])"
184,582,"array([4.19689427, 0.96249727])"
185,584,"array([4.20548741, 0.95432658])"
186,589,"array([4.19584222, 0.97383986])"
187,592,"array([4.1933001 , 0.96192863])"
188,593,"array([4.20001015, 0.95941062])"
189,595,"array([4.19253194, 0.94073238])"
190,602,"array([4.20004768, 0.9653402 ])"
191,607,"array([4.19395782, 0.9604552 ])"
192,609,"array([4.19360727, 0.96616228])"
193,615,"array([4.19585644, 0.96472349])"
194,619,"array([4.1926708 , 0.96964095])"
195,621,"array([4.19237481, 0.96744335])"
196,629,"array([4.19836377, 0.98020446])"
197,638,"array([4.19724052, 0.95747313])"
198,640,"array([4.18181629, 0.96291185])"
199,642,"array([4.19933611, 0.96201734])"
200,643,"array([4.19308428, 0.96051271])"
201,651,"array([4.19785722, 0.96748535])"
202,653,"array([4.20368038, 0.95525185])"
203,655,"array([4.19340858, 0.96469926])"
204,658,"array([4.20359493, 0.96679882])"
205,660,"array([4.20373253, 0.96462268])"
206,666,"array([4.20803636, 0.96827854])"
207,669,"array([4.20180328, 0.96860522])"
208,681,"array([4.20228789, 0.9641917 ])"
209,688,"array([4.20052463, 0.96543116])"
210,691,"array([4.19705384, 0.97550385])"
211,698,"array([4.19721777, 0.96869755])"
212,700,"array([4.2030301 , 0.96448327])"
213,702,"array([4.19849902, 0.96702081])"
214,710,"array([4.19906607, 0.96546343])"
215,719,"array([4.18900873, 0.96904842])"
216,723,"array([4.19427011, 0.96214801])"
217,729,"array([4.19400955, 0.96296197])"
218,739,"array([4.19612315, 0.96497697])"
219,744,"array([4.19614844, 0.94600484])"
220,746,"array([4.19122676, 0.94137985])"
221,748,"array([4.21552758, 0.9506863 ])"
222,750,"array([4.19209628, 0.96081474])"
223,751,"array([4.19701555, 0.96566645])"
224,752,"array([4.19183582, 0.96496303])"
225,754,"array([4.19435545, 0.9643033 ])"
226,755,"array([4.19838931, 0.9651134 ])"
227,756,"array([4.20021048, 0.96582073])"
228,757,"array([4.19879914, 0.96377321])"
229,762,"array([4.19943132, 0.96150619])"
230,767,"array([4.20826346, 0.96882612])"
231,775,"array([4.20848934, 0.95418228])"
232,778,"array([4.20237702, 0.96216053])"
233,781,"array([4.19538537, 0.96258401])"
234,785,"array([4.18495909, 0.96239039])"
235,787,"array([4.19144138, 0.95485077])"
236,789,"array([4.19348644, 0.95969879])"
237,795,"array([4.19839684, 0.96085774])"
238,797,"array([4.19196465, 0.9712177 ])"
239,798,"array([4.1993596 , 0.96229464])"
240,805,"array([4.22008222, 0.956401  ])"
241,808,"array([4.21376479, 0.96752665])"
