# index, name, _pos
129,166,"array([ 1.65193823, -0.44039208])"
130,188,"array([ 1.65188645, -0.41999837])"
131,189,"array([ 1.66958953, -0.42262198])"
132,197,"array([ 1.62618822, -0.41368893])"
133,205,"array([ 1.6683015 , -0.42966909])"
134,212,"array([ 1.67030243, -0.43864602])"
135,216,"array([ 1.65467643, -0.40786167])"
136,221,"array([ 1.67336694, -0.44798226])"
137,242,"array([ 1.63867138, -0.43340537])"
138,248,"array([ 1.65783521, -0.44468383])"
139,258,"array([ 1.70129099, -0.4005914 ])"
140,283,"array([ 1.63869121, -0.41711995])"
141,289,"array([ 1.64075015, -0.42180404])"
142,299,"array([ 1.63742435, -0.43944282])"
143,316,"array([ 1.66632794, -0.42970493])"
144,317,"array([ 1.65542667, -0.42643341])"
145,331,"array([ 1.63433789, -0.42019004])"
146,334,"array([ 1.66484939, -0.41694245])"
147,352,"array([ 1.72018243, -0.41093501])"
148,381,"array([ 1.66386362, -0.4247279 ])"
149,382,"array([ 1.6499597 , -0.45627237])"
150,392,"array([ 1.66470494, -0.42074032])"
151,410,"array([ 1.67100423, -0.42605828])"
152,460,"array([ 1.68372348, -0.4529631 ])"
153,488,"array([ 1.63918138, -0.4206549 ])"
154,511,"array([ 1.67855196, -0.42459061])"
155,527,"array([ 1.63482465, -0.41828011])"
156,554,"array([ 1.648717  , -0.43038713])"
157,572,"array([ 1.62417529, -0.41837305])"
158,582,"array([ 1.68487226, -0.43095566])"
159,602,"array([ 1.65277191, -0.42202915])"
160,633,"array([ 1.65833945, -0.40024474])"
161,642,"array([ 1.65065907, -0.47544234])"
162,689,"array([ 1.67481348, -0.40027778])"
163,690,"array([ 1.67170096, -0.41587263])"
164,708,"array([ 1.68378585, -0.49876954])"
165,711,"array([ 1.62997686, -0.39245066])"
166,746,"array([ 1.65648981, -0.42380305])"
167,762,"array([ 1.68009671, -0.43308324])"
168,791,"array([ 1.65992206, -0.40963136])"
169,810,"array([ 1.6883912 , -0.40303855])"
170,823,"array([ 1.63424482, -0.40979068])"
171,832,"array([ 1.65398334, -0.44183267])"
172,852,"array([ 1.66372758, -0.41885259])"
173,863,"array([ 1.68832908, -0.42862997])"
174,935,"array([ 1.66262339, -0.44643828])"
175,941,"array([ 1.65151257, -0.40473489])"
176,969,"array([ 1.6983467 , -0.43417371])"
177,975,"array([ 1.68212122, -0.46555447])"
178,977,"array([ 1.65036531, -0.4228279 ])"
179,989,"array([ 1.69378624, -0.43375353])"
180,1002,"array([ 1.65804432, -0.42199843])"
181,1007,"array([ 1.6490517, -0.4429451])"
182,1014,"array([ 1.65417379, -0.41964857])"
183,1022,"array([ 1.65214933, -0.40228816])"
184,1046,"array([ 1.67913642, -0.43864935])"
185,1125,"array([ 1.64094315, -0.39886218])"
186,1151,"array([ 1.63714556, -0.43172128])"
187,1152,"array([ 1.72092887, -0.45651553])"
188,1207,"array([ 1.63741843, -0.45041914])"
189,1235,"array([ 1.66778128, -0.41337593])"
190,1259,"array([ 1.63767402, -0.45462632])"
191,1277,"array([ 1.66931546, -0.44006734])"
192,1285,"array([ 1.69028614, -0.41155689])"
193,1293,"array([ 1.67843151, -0.39041028])"
194,1335,"array([ 1.69747075, -0.44139143])"
195,1353,"array([ 1.71888249, -0.4614563 ])"
196,1381,"array([ 1.69729054, -0.46795819])"
197,1399,"array([ 1.67848052, -0.38333593])"
198,1443,"array([ 1.63171122, -0.45304968])"
199,1454,"array([ 1.64325058, -0.39172468])"
200,1479,"array([ 1.65837246, -0.453025  ])"
201,1496,"array([ 1.68728414, -0.44264576])"
202,1517,"array([ 1.68173032, -0.45152186])"
203,1591,"array([ 1.65973143, -0.4358611 ])"
204,1619,"array([ 1.67255074, -0.40782707])"
205,1645,"array([ 1.68642645, -0.42460178])"
206,1660,"array([ 1.69858805, -0.40131603])"
207,1746,"array([ 1.6361771 , -0.41313696])"
208,1826,"array([ 1.64162436, -0.40132113])"
209,1914,"array([ 1.68237081, -0.42125422])"
210,1930,"array([ 1.69106594, -0.41535699])"
211,2069,"array([ 1.68693435, -0.42135248])"
212,2104,"array([ 1.6604654 , -0.38909168])"
213,2120,"array([ 1.67681307, -0.39301564])"
214,2144,"array([ 1.6526162 , -0.42856843])"
215,2146,"array([ 1.64601282, -0.46249289])"
216,2208,"array([ 1.63413029, -0.46883669])"
217,2228,"array([ 1.64153783, -0.47110042])"
218,2312,"array([ 1.71735871, -0.41836446])"
