# index, name, _pos
128,2064,"array([ 2.7984521 , -0.91350091])"
129,2067,"array([ 2.81275111, -0.8745966 ])"
130,2070,"array([ 2.89705288, -0.95968617])"
131,2071,"array([ 2.81917939, -0.89879159])"
132,2101,"array([ 2.84265145, -0.90068677])"
133,2102,"array([ 2.89415501, -0.82474397])"
134,2112,"array([ 2.77444383, -0.92790909])"
135,2119,"array([ 2.84166678, -0.95150667])"
136,2162,"array([ 2.80597074, -0.93545923])"
137,2198,"array([ 2.89570325, -0.97192693])"
138,2219,"array([ 2.81107572, -0.94565752])"
139,2222,"array([ 2.81395025, -0.77922871])"
140,2241,"array([ 2.78905405, -0.89017718])"
141,2247,"array([ 2.82067267, -0.94360415])"
142,2253,"array([ 2.91232826, -0.91761786])"
143,2261,"array([ 2.82051279, -0.88126199])"
144,2266,"array([ 2.86684196, -0.94365906])"
145,2267,"array([ 2.82009947, -0.91722748])"
146,2270,"array([ 2.78355819, -0.88773984])"
147,2271,"array([ 2.7993342 , -0.92782624])"
148,2279,"array([ 2.77881443, -0.90593371])"
149,2308,"array([ 2.8426334 , -0.86725645])"
150,2321,"array([ 2.79275466, -0.94563768])"
151,2338,"array([ 2.83189781, -0.86939183])"
152,2358,"array([ 2.87399484, -0.91397612])"
153,2361,"array([ 2.88861282, -0.94104818])"
154,2366,"array([ 2.84156495, -0.88599124])"
155,2368,"array([ 2.86041194, -0.97646612])"
156,2381,"array([ 2.88984104, -0.92483772])"
157,2384,"array([ 2.9533791 , -0.90550649])"
158,2440,"array([ 2.8547667, -0.9545996])"
159,2462,"array([ 2.80156064, -0.90803047])"
160,2463,"array([ 2.80732246, -0.95200078])"
161,2473,"array([ 2.9162601 , -0.90233516])"
162,2494,"array([ 2.83920142, -0.9585217 ])"
163,2512,"array([ 2.86166456, -0.93540185])"
164,2524,"array([ 2.91252668, -0.95548751])"
165,2578,"array([ 2.85695564, -0.8910443 ])"
166,2580,"array([ 2.93485449, -0.88249056])"
167,2603,"array([ 2.86114618, -0.98495524])"
168,2637,"array([ 2.8073047, -0.9264891])"
169,2648,"array([ 2.80958545, -0.91361914])"
170,2650,"array([ 2.78883202, -0.82897782])"
171,2651,"array([ 2.82099988, -0.90583837])"
172,2657,"array([ 2.84138537, -0.89445285])"
173,2676,"array([ 2.8280037 , -0.92300557])"
174,2677,"array([ 2.83583849, -0.93718494])"
175,2689,"array([ 2.83107374, -0.91465974])"
176,2693,"array([ 2.90245826, -0.91659983])"
177,2729,"array([ 2.80516951, -0.8831028 ])"
178,2735,"array([ 2.77971825, -0.89365277])"
179,2749,"array([ 2.8679786 , -0.93506875])"
180,2753,"array([ 2.85052462, -0.84905603])"
181,2764,"array([ 2.96640432, -0.90531266])"
182,2777,"array([ 2.9425385 , -0.90650739])"
183,2789,"array([ 2.80000065, -0.93070849])"
184,2812,"array([ 2.76598436, -0.92054498])"
185,2828,"array([ 2.80286393, -0.8806835 ])"
186,2829,"array([ 2.80181635, -0.80510509])"
